user,user,cpm,error_rate,dwell_avg,dwell_std,flight_avg,flight_std,click_dwell_avg,click_flight_avg,pressure_touch,scroll_x,scroll_y,double_click,swipe_speed_avg,tilt_angle_avg
user1,M,20.33,,3.6,2.07,1373,1111.16,0,0,0.10 (Soft Touch),342.55,673.09,,,13.75
user1,M,22.87,,3,2.83,1435.75,517.49,0,0,0.50 (Medium Touch),375.15,517.57,1,,74.89
user1,M,48.02,7,4.92,3.15,981.58,996.43,0,0,0.10 (Soft Touch),377.72,655.4,,,72.81
user1,M,44.16,6,4.06,3.11,1202.33,2041.63,0,0,0.50 (Medium Touch),386.52,745.78,,,73.18
user1,M,44.16,6,4.06,3.11,1202.33,2041.63,0,0,0.10 (Soft Touch),369.77,538.77,,,50.94
user1,M,58.24,5,5.3,4.62,733,722.5,0,0,0.10 (Soft Touch),422.92,883.1,,,72.91
user1,M,62.65,9,4.36,3.75,419.15,503.24,0,0,0.10 (Soft Touch),354.1,850.13,,,17.48
user1,M,94.47,11,4.24,2.33,452.5,683.56,0,0,0.10 (Soft Touch),354.1,850.13,,,18.91
user1,M,64.4,15,3.84,2.87,897.83,1596.23,0,0,0.10 (Soft Touch),390.42,876.97,2,,12.82
user1,M,16.66,2,4.44,4.3,1044.75,654.34,0,0,0.50 (Medium Touch),363.64,565.09,,,34.5
user1,M,16.66,2,4.44,4.3,1044.75,654.34,0,0,0.10 (Soft Touch),363.64,565.09,,,34.24
user1,M,8.49,1,2.14,2.54,1036.5,601.26,0,0,0.10 (Soft Touch),348.2,794.58,,,136.85
user1,M,38.23,1,3.14,1.77,1300.67,476.85,0,0,0.10 (Soft Touch),363.64,636,,,28.6
user1,M,38.23,1,3.14,1.77,1300.67,476.85,0,0,0.10 (Soft Touch),363.64,603.27,,,29.34
user1,M,38.23,1,3.14,1.77,1300.67,476.85,0,0,0.50 (Medium Touch),363.64,603.27,,,29.31
user1,M,38.23,1,3.14,1.77,1300.67,476.85,0,0,0.10 (Soft Touch),363.64,603.27,,,29.39
user1,M,38.98,,2.2,0.45,1275.75,525.29,0,0,0.10 (Soft Touch),363.64,633.45,,,27.7
user1,M,66.47,7,6.25,5.08,634.82,632.67,0,0,0.10 (Soft Touch),390.13,794.58,,,134.36
user1,M,8.36,1,3.57,2.23,909.83,177,0,0,0.10 (Soft Touch),496.36,793.45,,,48.89
user1,M,34.58,,3.4,1.14,1241.5,410.1,0,0,0.10 (Soft Touch),410.91,703.27,,,73.53
user1,M,36.11,,4.2,3.9,724.75,329.32,0,0,0.10 (Soft Touch),416.36,719.27,,,73.09
user1,M,35.94,18,3.06,1.35,947.77,1374.74,0,0,0.10 (Soft Touch),334.18,814.91,,,28.14
user1,M,25.14,,2.2,0.84,1736.5,320.45,0,0,0.10 (Soft Touch),428,824.36,,,13.45
user1,M,25.14,,2.2,0.84,1736.5,320.45,0,0,0.10 (Soft Touch),428,824.36,,,24.19
user1,M,29.27,,4.2,2.28,1200.5,1079.36,0,0,0.10 (Soft Touch),420,803.27,,,85.24
user1,M,40.08,,2.6,0.55,914.75,315.56,0,0,0.10 (Soft Touch),403.27,753.45,,,79.52
user1,M,27.7,,3.4,1.52,523.5,357.42,0,0,0.10 (Soft Touch),403.27,809.82,,,78.27
user1,M,73.18,4,3.46,1.45,613.42,428.41,0,0,0.10 (Soft Touch),399.64,741.45,,,78.36
user1,M,20.97,,4.4,1.14,801.75,509.11,0,0,0.10 (Soft Touch),421.45,778.18,,,74.94
user1,M,15.05,,2.6,0.55,1132.75,412.53,0,0,0.10 (Soft Touch),445.09,805.45,,,76.32
user1,M,25.45,,3,1.22,1151,676.61,0,0,0.10 (Soft Touch),371.27,575.27,3,,76.66
user1,M,35.02,5,4.73,3.9,1367.64,1867.2,0,0,0.10 (Soft Touch),370.05,851.52,,,83.48
user1,M,58.44,5,6.4,4.81,844.33,863.76,0,0,0.10 (Soft Touch),370.05,851.52,,,81.96
user1,M,39.18,5,3.5,3.47,1035.11,1068.18,0,0,0.10 (Soft Touch),395.57,704.03,,,75.96
user1,M,48.46,5,5.5,4.03,912.44,615.42,0,0,0.10 (Soft Touch),471.92,938.67,,,78.28
user1,M,66.14,5,6.4,5.06,680.67,399.01,0,0,0.10 (Soft Touch),481.23,911.45,,,78.7
user1,M,102.52,12,4.35,2.45,393.81,587.8,0,0,0.10 (Soft Touch),406.83,889.22,,,78.86
user1,M,72.75,10,6.67,4.32,450.5,597.29,0,0,0.10 (Soft Touch),411.18,780.97,,,76.34
user1,M,38.4,18,5.29,5.09,1000.43,1715.58,0,0,0.50 (Medium Touch),440.13,580.4,1,,73.63
user1,M,55.43,5,5.1,3.45,778.67,740.63,0,0,0.10 (Soft Touch),366.32,889.93,,,80.53
user1,M,31.03,,4.2,3.7,1076.75,306.46,0,0,0.10 (Soft Touch),399.2,879.75,,,80.46
user1,M,54.36,7,5.54,4.54,971.5,1038.7,0,0,0.10 (Soft Touch),409.68,879.75,,,82
user1,M,74.63,9,4.36,3.73,589.15,768.71,0,0,0.10 (Soft Touch),414.23,879.75,,,76.69
user1,M,71.96,5,6.2,4.94,637.44,537.62,0,0,0.10 (Soft Touch),381.73,879.75,,,73.91
