User_ID,Transaction_Amount,Transaction_Type,Time_of_Transaction,Device_Used,Location,Previous_Fraudulent_Transactions,Account_Age,Number_of_Transactions_Last_24H,Payment_Method,Fraudulent
4174,1292.76,0,16.0,2,6,0,119,13,1,0
4507,1554.58,0,13.0,1,5,4,79,3,0,0
1860,2395.02,0,12.0,1,0,3,115,9,4,0
2294,100.1,2,15.0,0,1,4,3,4,4,0
2130,1490.5,4,19.0,1,6,2,57,7,0,0
2095,2372.04,0,15.0,0,0,3,96,14,0,0
4772,544.81,2,2.0,2,0,3,6,9,4,1
4092,635.75,0,13.0,2,0,2,13,10,1,0
2638,2318.87,1,12.0,1,6,4,110,12,1,0
3169,3656.17,2,3.0,1,1,4,66,3,3,0
1466,2524.1000000000004,3,3.0,2,2,1,4,6,3,0
2238,2733.84,2,20.0,1,6,2,68,1,0,0
1330,2376.37,1,0.0,1,0,1,25,7,3,0
2482,1924.48,3,0.0,2,1,0,113,1,3,0
3135,968.78,0,15.0,0,6,1,52,13,3,0
4444,737.08,2,12.0,2,2,2,65,4,3,0
4171,3960.52,1,13.0,2,4,2,68,8,1,0
3919,2327.71,3,20.0,0,4,4,21,1,1,0
4735,3952.65,4,21.0,2,0,1,61,14,3,0
1130,3521.89,2,14.0,1,6,1,22,12,4,0
2685,973.51,2,2.0,1,5,1,43,12,4,0
4380,2553.98,0,3.0,1,4,1,7,9,3,0
1769,2222.86,4,14.0,1,4,1,103,10,4,0
3391,2524.1000000000004,0,7.0,1,0,3,8,10,3,0
2515,2715.14,4,4.0,0,0,1,71,10,3,0
4485,2524.1000000000004,3,17.0,1,4,2,63,8,4,0
3853,4065.44,3,21.0,2,5,4,99,9,3,0
3433,4519.04,2,13.0,2,0,0,81,10,0,1
2215,153.05,2,20.0,1,3,3,82,2,1,0
1955,705.98,3,12.0,1,3,3,2,11,4,0
3324,428.39,4,20.0,0,5,0,85,10,0,0
2184,1319.84,0,12.0,1,2,3,81,2,1,0
1459,2212.25,3,10.0,0,5,4,14,13,4,0
4385,3212.06,3,20.0,1,6,0,31,2,4,0
1021,2506.65,1,5.0,2,4,0,108,13,1,0
3300,4516.4,2,7.0,1,2,0,110,10,3,0
1747,4699.58,4,15.0,0,6,1,14,14,3,0
3904,821.79,0,7.0,1,6,2,116,10,0,0
4632,4265.3,1,0.0,2,7,4,15,4,4,0
1474,2411.2,1,19.0,1,5,4,14,12,4,0
2082,2269.38,3,8.0,2,5,0,51,1,1,0
3558,3925.77,2,13.0,1,2,2,71,1,2,0
4753,470.24,3,11.0,0,0,2,8,3,1,0
3047,4413.05,1,21.0,0,0,4,46,11,0,1
4547,3355.96,1,4.0,0,2,0,21,3,3,0
3747,4376.93,0,20.0,1,5,1,94,7,3,0
1975,4972.42,3,13.0,2,2,1,93,14,0,0
2806,2592.43,3,13.0,2,5,1,119,14,3,0
1189,470.84,4,12.0,2,5,1,70,3,3,0
4005,2524.1000000000004,0,4.0,1,0,3,10,7,1,0
3734,1621.47,2,17.0,0,3,4,108,5,1,0
4005,522.25,3,8.0,1,4,0,1,1,3,0
1562,4077.63,3,18.0,0,2,1,85,12,1,0
2899,1487.85,2,0.0,1,2,0,21,5,1,0
4638,4879.55,0,1.0,0,2,0,58,11,3,0
2267,3514.44,3,20.0,2,6,2,112,6,3,0
3879,871.28,2,11.0,1,1,3,41,14,3,0
2528,2382.83,4,12.0,3,5,0,27,14,0,0
4202,2337.09,3,20.0,2,1,0,19,7,4,0
4556,2465.1,2,18.0,2,2,2,41,14,0,0
4890,2680.78,1,21.0,1,3,3,68,5,0,0
1646,160.71,3,19.0,1,4,3,35,11,1,0
3068,3433.07,4,1.0,1,3,2,7,2,4,0
3888,2438.52,2,3.0,1,7,1,18,11,0,0
3214,3955.87,2,20.0,0,5,4,106,4,4,0
2297,4077.67,3,5.0,1,1,0,13,12,2,0
3435,1156.52,1,16.0,0,6,4,29,12,4,0
1600,246.87,2,22.0,1,7,1,1,6,1,0
3363,3517.65,2,0.0,0,0,2,29,8,4,1
3061,4888.93,1,19.0,0,1,0,109,2,3,0
1241,2236.06,4,9.0,1,0,2,63,3,4,0
3041,1301.77,3,3.0,1,1,4,61,8,2,0
3824,787.58,3,0.0,1,0,1,103,1,0,0
4417,1440.79,3,15.0,2,4,2,16,1,3,1
3612,1642.96,0,18.0,2,0,0,74,11,4,0
3945,2122.25,3,14.0,0,3,3,28,14,3,0
2363,3278.76,1,3.0,0,4,2,107,13,4,0
3139,1369.45,3,0.0,0,4,2,78,3,4,0
2390,259.63,4,16.0,0,2,4,65,9,3,0
4003,1869.53,0,18.0,2,6,1,79,9,4,0
2478,4278.87,1,20.0,0,2,3,18,7,4,0
4499,2494.27,1,13.0,0,6,3,44,6,4,1
3556,4824.09,4,8.0,0,0,3,77,4,4,0
1775,2520.59,3,14.0,0,1,2,40,12,3,0
1034,1383.11,0,12.0,1,0,3,20,11,0,1
3253,970.6,0,8.0,1,3,3,11,2,0,0
4152,3474.15,0,17.0,0,1,2,50,14,3,0
2955,2684.22,1,12.0,2,0,3,45,14,1,0
2585,3021.97,4,10.0,0,6,1,8,14,1,0
4943,3776.86,1,4.0,0,4,4,114,6,3,0
4459,3630.89,3,18.0,0,6,3,37,1,4,0
4073,221.6,2,5.0,0,2,3,116,9,4,0
2021,4013.85,0,2.0,2,3,4,57,12,0,0
4461,2665.85,0,15.0,0,4,2,48,7,3,0
3613,1961.58,0,17.0,1,5,0,30,4,4,0
2129,2689.91,1,9.0,0,0,2,77,12,4,0
4843,3064.19,0,2.0,1,4,2,116,3,1,0
4893,751.78,0,1.0,0,2,4,89,8,0,0
2500,2089.99,2,0.0,2,1,3,16,11,0,0
1702,1681.25,4,15.0,1,4,0,10,5,3,0
3449,1755.29,3,15.0,2,0,1,9,1,0,0
3777,461.22,1,22.0,1,2,4,104,1,4,0
2579,803.42,3,21.0,0,3,4,67,3,1,0
1161,813.35,4,3.0,2,0,2,28,11,4,0
1201,1869.26,3,12.0,0,4,3,79,8,4,0
2981,4472.99,1,18.0,2,1,0,100,14,0,0
1995,1034.11,2,5.0,2,1,1,51,2,3,0
3317,2083.88,3,15.0,2,6,4,30,8,0,0
4934,1561.49,4,3.0,0,2,0,117,6,3,0
1815,3937.98,1,5.0,0,1,3,119,13,1,0
4342,255.38,4,6.0,2,5,2,41,1,0,0
1455,2524.1000000000004,3,18.0,1,0,1,116,11,4,0
4533,1057.15,1,19.0,0,5,0,47,13,4,0
4798,4964.85,3,13.0,1,1,0,58,4,1,0
2275,2856.02,0,12.0,1,4,3,44,11,3,0
2016,699.1,1,21.0,2,0,4,38,1,0,0
4773,1364.63,3,17.0,2,4,3,3,10,4,0
3343,843.27,1,23.0,0,3,4,86,10,1,0
4796,627.4,2,18.0,2,5,0,34,1,4,0
3767,3986.92,0,2.0,1,1,3,109,11,0,0
4820,2481.28,4,4.0,2,3,2,80,5,1,0
1337,3157.89,3,9.0,0,5,2,43,1,0,0
1878,1659.6,4,6.0,2,1,0,11,7,1,0
2076,2770.71,3,14.0,2,5,0,90,4,0,0
1791,1291.56,1,23.0,1,1,1,4,8,4,0
4993,1543.64,4,22.0,2,6,2,3,13,1,0
3264,3262.93,0,23.0,0,5,0,5,6,4,0
1763,756.0,3,23.0,2,7,0,85,10,3,0
3235,3088.02,4,17.0,0,6,1,91,3,0,0
1379,4261.91,3,12.0,2,5,0,112,5,3,0
1492,606.51,2,17.0,0,0,4,42,8,1,1
4112,4487.82,2,8.0,0,6,2,83,14,3,0
2180,401.83,4,3.0,0,3,2,49,2,4,0
3062,1747.8,2,21.0,0,4,2,102,7,0,0
4884,2524.1000000000004,0,14.0,1,7,0,115,13,1,0
1064,2799.28,4,22.0,0,3,1,54,8,1,0
4928,486.47,1,0.0,0,7,2,12,14,3,0
4910,3995.57,4,14.0,2,3,2,12,3,1,0
3568,4865.9,1,23.0,2,6,1,72,14,0,0
2367,910.24,2,10.0,0,6,2,80,14,0,0
2152,4476.18,4,0.0,2,3,1,83,9,0,0
3027,2786.26,0,23.0,2,0,2,27,3,4,0
3695,4679.99,2,13.0,0,6,1,40,7,0,0
2495,884.55,2,14.0,2,1,3,93,7,3,0
4134,3961.15,2,16.0,2,7,4,4,7,4,0
2162,303.61,1,1.0,1,7,4,69,7,3,0
2522,4416.57,1,17.0,2,3,1,16,14,3,0
3640,3372.43,0,19.0,1,2,0,65,12,4,0
1391,2524.1000000000004,1,17.0,0,6,4,69,11,4,0
2698,956.38,3,21.0,0,5,2,23,10,3,0
1418,4083.58,3,12.0,0,3,0,91,10,1,0
3336,3018.19,4,6.0,2,0,4,5,8,4,0
1378,1805.28,2,0.0,2,1,3,112,7,4,0
2796,2221.96,3,1.0,2,1,0,11,11,3,0
4561,4133.58,1,22.0,0,4,4,70,12,3,0
3278,1697.94,0,18.0,2,7,0,114,3,0,0
4065,452.72,1,15.0,0,2,0,72,2,1,0
3088,4556.85,2,4.0,1,1,2,93,7,4,0
4099,1939.78,2,1.0,0,4,4,27,12,1,0
3182,1745.2,3,12.0,1,7,2,48,3,3,1
1200,1025.98,3,18.0,1,2,0,13,2,0,0
